#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  21100      2.10e+00    1.89e+00      5.81e-02    4.05e-02      9.32e-02    8.42e-02    1.0e-03
  21200      3.52e+00    2.83e+00      3.34e-02    1.76e-02      1.57e-01    1.27e-01    1.0e-03
  21300      2.20e+00    2.06e+00      5.29e-02    2.56e-02      9.77e-02    9.21e-02    1.0e-03
  21400      3.18e+00    2.22e+00      7.27e-02    7.10e-02      1.41e-01    9.88e-02    1.0e-03
  21500      2.79e+00    2.50e+00      1.29e-01    5.13e-02      1.23e-01    1.12e-01    1.0e-03
  21600      3.98e+00    2.19e+00      2.40e-02    2.41e-02      1.78e-01    9.80e-02    1.0e-03
  21700      2.43e+00    1.55e+00      7.07e-02    4.94e-02      1.08e-01    6.90e-02    1.0e-03
  21800      2.83e+00    2.32e+00      8.71e-02    1.76e-02      1.26e-01    1.04e-01    1.0e-03
  21900      2.08e+00    2.09e+00      3.90e-02    9.25e-03      9.29e-02    9.35e-02    1.0e-03
  22000      2.30e+00    2.84e+00      7.69e-02    1.14e-01      1.02e-01    1.26e-01    1.0e-03
  22100      2.79e+00    3.42e+00      8.52e-02    4.31e-02      1.23e-01    1.53e-01    1.0e-03
  22200      2.01e+00    2.15e+00      6.21e-02    1.23e-03      8.93e-02    9.60e-02    1.0e-03
  22300      2.70e+00    1.88e+00      5.83e-02    4.63e-02      1.20e-01    8.35e-02    1.0e-03
  22400      2.41e+00    2.04e+00      6.70e-02    8.70e-02      1.07e-01    9.01e-02    1.0e-03
  22500      2.20e+00    1.62e+00      6.44e-02    1.05e-01      9.75e-02    7.07e-02    1.0e-03
  22600      2.16e+00    2.34e+00      8.44e-02    4.13e-02      9.53e-02    1.04e-01    1.0e-03
  22700      1.74e+00    2.92e+00      7.15e-02    3.34e-02      7.69e-02    1.30e-01    1.0e-03
  22800      3.47e+00    3.74e+00      1.30e-01    2.33e-02      1.50e-01    1.67e-01    1.0e-03
  22900      3.39e+00    2.90e+00      9.00e-02    2.00e-02      1.50e-01    1.30e-01    1.0e-03
  23000      2.79e+00    2.02e+00      7.46e-02    1.01e-01      1.24e-01    8.88e-02    1.0e-03
  23100      2.31e+00    2.77e+00      5.38e-02    2.22e-01      1.03e-01    1.22e-01    1.0e-03
  23200      2.75e+00    2.80e+00      2.83e-02    2.63e-01      1.23e-01    1.22e-01    1.0e-03
  23300      2.55e+00    3.62e+00      6.80e-02    4.12e-02      1.14e-01    1.62e-01    1.0e-03
  23400      2.77e+00    2.95e+00      1.02e-01    3.82e-03      1.23e-01    1.32e-01    1.0e-03
  23500      1.86e+00    2.09e+00      1.13e-01    1.70e-02      8.18e-02    9.32e-02    1.0e-03
  23600      2.34e+00    1.65e+00      4.19e-02    1.72e-02      1.04e-01    7.36e-02    1.0e-03
  23700      2.45e+00    2.08e+00      8.62e-02    6.81e-03      1.09e-01    9.29e-02    1.0e-03
  23800      2.20e+00    2.16e+00      6.87e-02    1.19e-02      9.74e-02    9.66e-02    1.0e-03
  23900      2.06e+00    2.27e+00      4.58e-02    6.45e-02      9.16e-02    1.01e-01    1.0e-03
  24000      2.27e+00    3.59e+00      3.15e-02    2.53e-01      1.01e-01    1.58e-01    1.0e-03
  24100      2.33e+00    2.39e+00      2.00e-02    1.57e-02      1.04e-01    1.07e-01    1.0e-03
  24200      2.74e+00    2.59e+00      7.74e-02    1.21e-01      1.22e-01    1.14e-01    1.0e-03
  24300      2.32e+00    3.74e+00      5.46e-02    2.13e-01      1.03e-01    1.66e-01    1.0e-03
  24400      2.13e+00    2.21e+00      3.68e-02    6.10e-02      9.48e-02    9.84e-02    1.0e-03
